i,t,rho,beta,power,flux,s_Fuel,s_Precursors,s_Absorber,s_Water
1260,62.99999999999856,9.750178448571086e-09,0.008117706728217025,6.545335025808051,7.801325745181129e-13,212.7659574463788,1.704299235193184e-14,1107.0483864642276,55555.555555555555
1270,63.49999999999853,9.750043597508974e-09,0.00811770672821729,6.545335057716924,7.801325783213026e-13,212.76595744637538,1.7042992435017665e-14,1107.0483864642276,55555.555555555555
1280,63.9999999999985,9.749915735782044e-09,0.008117706728217553,6.545335089625365,7.801325821244409e-13,212.76595744637197,1.704299251810236e-14,1107.0483864642276,55555.555555555555
1290,64.49999999999848,9.749780302279376e-09,0.00811770672821782,6.545335121533377,7.80132585927528e-13,212.76595744636856,1.7042992601185945e-14,1107.0483864642276,55555.555555555555
1300,64.99999999999845,9.749651696321704e-09,0.008117706728218082,6.54533515344096,7.801325897305641e-13,212.76595744636515,1.704299268426841e-14,1107.0483864642276,55555.555555555555
1310,65.49999999999842,9.749517718933997e-09,0.00811770672821835,6.545335185348112,7.801325935335486e-13,212.76595744636174,1.7042992767349754e-14,1107.0483864642276,55555.555555555555
1320,65.9999999999984,9.749388498177693e-09,0.008117706728218613,6.545335217254834,7.801325973364822e-13,212.76595744635833,1.7042992850429978e-14,1107.0483864642276,55555.555555555555
1330,66.49999999999837,9.749260086373879e-09,0.008117706728218876,6.545335249161125,7.801326011393643e-13,212.76595744635492,1.704299293350908e-14,1107.0483864642276,55555.555555555555
1340,66.99999999999834,9.749124038078469e-09,0.008117706728219144,6.545335281066988,7.801326049421952e-13,212.7659574463515,1.7042993016587066e-14,1107.0483864642276,55555.555555555555
1350,67.49999999999831,9.748994914401966e-09,0.008117706728219405,6.54533531297242,7.801326087449749e-13,212.7659574463481,1.704299309966393e-14,1107.0483864642276,55555.555555555555
1360,67.99999999999828,9.748862360776931e-09,0.008117706728219673,6.545335344877424,7.801326125477035e-13,212.7659574463447,1.704299318273968e-14,1107.0483864642276,55555.555555555555
1370,68.49999999999825,9.748730486672306e-09,0.008117706728219936,6.545335376781996,7.801326163503807e-13,212.76595744634128,1.7042993265814305e-14,1107.0483864642276,55555.555555555555
1380,68.99999999999822,9.748597318248705e-09,0.008117706728220202,6.54533540868614,7.801326201530067e-13,212.76595744633786,1.7042993348887812e-14,1107.0483864642276,55555.555555555555
1390,69.4999999999982,9.748466835542903e-09,0.008117706728220464,6.545335440589854,7.801326239555816e-13,212.76595744633445,1.7042993431960204e-14,1107.0483864642276,55555.555555555555
1400,69.99999999999817,9.748339329777072e-09,0.008117706728220729,6.545335472493133,7.801326277581047e-13,212.76595744633104,1.7042993515031464e-14,1107.0483864642276,55555.555555555555
1410,70.49999999999814,9.748204058087803e-09,0.008117706728220994,6.545335504395987,7.801326315605771e-13,212.76595744632763,1.704299359810162e-14,1107.0483864642276,55555.555555555555
1420,70.99999999999811,9.74807584044929e-09,0.00811770672822126,6.545335536298408,7.801326353629978e-13,212.76595744632422,1.7042993681170644e-14,1107.0483864642276,55555.555555555555
1430,71.49999999999808,9.747939921603469e-09,0.008117706728221524,6.545335568200404,7.801326391653678e-13,212.7659574463208,1.7042993764238556e-14,1107.0483864642276,55555.555555555555
1440,71.99999999999805,9.74781303064766e-09,0.008117706728221786,6.545335600101967,7.801326429676864e-13,212.7659574463174,1.7042993847305347e-14,1107.0483864642276,55555.555555555555
1450,72.49999999999802,9.747678664990761e-09,0.008117706728222053,6.5453356320031,7.801326467699537e-13,212.765957446314,1.7042993930371018e-14,1107.0483864642276,55555.555555555555
1460,72.999999999998,9.747546952693559e-09,0.008117706728222316,6.5453356639038045,7.801326505721698e-13,212.76595744631058,1.7042994013435573e-14,1107.0483864642276,55555.555555555555
1470,73.49999999999797,9.747420255891574e-09,0.00811770672822258,6.545335695804075,7.801326543743343e-13,212.76595744630717,1.7042994096499e-14,1107.0483864642276,55555.555555555555
1480,73.99999999999794,9.747283786969104e-09,0.008117706728222845,6.545335727703919,7.801326581764479e-13,212.76595744630376,1.7042994179561314e-14,1107.0483864642276,55555.555555555555
1490,74.49999999999791,9.747156410652476e-09,0.008117706728223107,6.545335759603332,7.8013266197851e-13,212.76595744630035,1.7042994262622498e-14,1107.0483864642276,55555.555555555555
1500,74.99999999999788,9.747021365486817e-09,0.008117706728223375,6.545335791502315,7.801326657805211e-13,212.76595744629694,1.7042994345682575e-14,1107.0483864642276,55555.555555555555
1510,75.49999999999785,9.74689123874224e-09,0.00811770672822364,6.545335823400869,7.801326695824809e-13,212.76595744629353,1.704299442874153e-14,1107.0483864642276,55555.555555555555
1520,75.99999999999783,9.746757714407432e-09,0.008117706728223907,6.5453358552989895,7.801326733843892e-13,212.76595744629012,1.704299451179936e-14,1107.0483864642276,55555.555555555555
1530,76.4999999999978,9.746628946703538e-09,0.008117706728224167,6.545335887196684,7.801326771862466e-13,212.7659574462867,1.7042994594856074e-14,1107.0483864642276,55555.555555555555
1540,76.99999999999777,9.746496846125472e-09,0.008117706728224433,6.5453359190939455,7.801326809880525e-13,212.7659574462833,1.7042994677911667e-14,1107.0483864642276,55555.555555555555
1550,77.49999999999774,9.74636536035171e-09,0.008117706728224696,6.545335950990781,7.801326847898074e-13,212.76595744627988,1.7042994760966143e-14,1107.0483864642276,55555.555555555555
1560,77.99999999999771,9.746234618814326e-09,0.008117706728224962,6.5453359828871855,7.801326885915111e-13,212.76595744627647,1.70429948440195e-14,1107.0483864642276,55555.555555555555
1570,78.49999999999768,9.746100382612734e-09,0.008117706728225225,6.54533601478316,7.801326923931636e-13,212.76595744627306,1.7042994927071743e-14,1107.0483864642276,55555.555555555555
1580,78.99999999999766,9.745971097190073e-09,0.008117706728225491,6.545336046678703,7.801326961947646e-13,212.76595744626965,1.7042995010122855e-14,1107.0483864642276,55555.555555555555
