i,t,rho,beta,power,flux,s_Fuel,s_Precursors,s_Structure,s_Water,s_Xenon
9800,98.00000000001323,0.08782800184293499,0.006665896605096735,421066.6245891647,5.018655096938196e-08,192.76595292494235,8.144847957296414e-09,1960.8941677404896,41666.66666609593,0.0036958350695838697
9900,99.00000000001374,0.08783842252848648,0.006665786769752098,459731.83275927167,5.479502223557211e-08,192.76595250963547,8.892615895434567e-09,1960.8941677404896,41666.66666604329,0.0036957341078795985
10000,100.00000000001425,0.08784903147130012,0.006665672589958308,501952.0156261341,5.982720772748047e-08,192.76595205619023,9.709115558458791e-09,1960.8941677404896,41666.66666598581,0.0036956310047302097
10100,101.00000000001477,0.0878598510942496,0.0066655539916520064,548054.6196983798,6.532213549894776e-08,192.76595156109968,1.0600675253399914e-08,1960.8941677404896,41666.666665923025,0.003695525563162232
10200,102.00000000001528,0.08787090545575373,0.00666543086661364,598397.330746293,7.13224377941204e-08,192.76595102053426,1.1574207331073488e-08,1960.8941677404896,41666.6666658545,0.0036954175680677893
10300,103.00000000001579,0.08788222043679794,0.006665303071617609,653370.8781473135,7.787468529485962e-08,192.7659504303112,1.263726228985743e-08,1960.8941677404896,41666.666665779674,0.003695306784531238
10400,104.0000000000163,0.08789382394223347,0.006665170427310788,713402.1012666349,8.50297525998775e-08,192.7659497858621,1.3798087924447512e-08,1960.8941677404896,41666.666665697965,0.003695192956000791
10500,105.00000000001681,0.0879057461180088,0.0066650327168101394,778957.3027063564,9.284321789547704e-08,192.76594908219755,1.5065693995813102e-08,1960.8941677404896,41666.66666560876,0.0036950758022907646
10600,106.00000000001732,0.08791801958597882,0.006664889684008632,850545.9156742695,1.0137580006592814e-07,192.7659483138684,1.6449922944588677e-08,1960.8941677404896,41666.66666551136,0.0036949550173985884
10700,107.00000000001783,0.08793067969813817,0.006664741031575867,928724.5153883268,1.1069383680914573e-07,192.76594747492246,1.7961527220791284e-08,1960.8941677404896,41666.666665404984,0.003694830267119332
10800,108.00000000001835,0.08794376481238042,0.006664586418637702,1014101.2073725091,1.2086980767371387e-07,192.76594655885842,1.9612253858556296e-08,1960.8941677404896,41666.66666528886,0.0036947011864387346
10900,109.00000000001886,0.08795731659192399,0.00666442545811624,1107340.4287452498,1.3198290632011975e-07,192.76594555857548,2.1414936986098465e-08,1960.8941677404896,41666.66666516204,0.0036945673766841233
11000,110.00000000001937,0.08797138033073257,0.006664257713709292,1209168.2021874331,1.4411966673645772e-07,192.7659444663166,2.338359902896841e-08,1960.8941677404896,41666.66666502354,0.0036944284024104106
